model	filename
0	1oca_model_0_chain_A_alt_A.pdb
1	1oca_model_10_chain_A_alt_A.pdb
2	1oca_model_11_chain_A_alt_A.pdb
3	1oca_model_12_chain_A_alt_A.pdb
4	1oca_model_13_chain_A_alt_A.pdb
5	1oca_model_14_chain_A_alt_A.pdb
6	1oca_model_15_chain_A_alt_A.pdb
7	1oca_model_16_chain_A_alt_A.pdb
8	1oca_model_17_chain_A_alt_A.pdb
9	1oca_model_18_chain_A_alt_A.pdb
10	1oca_model_19_chain_A_alt_A.pdb
11	1oca_model_1_chain_A_alt_A.pdb
12	1oca_model_2_chain_A_alt_A.pdb
13	1oca_model_3_chain_A_alt_A.pdb
14	1oca_model_4_chain_A_alt_A.pdb
15	1oca_model_5_chain_A_alt_A.pdb
16	1oca_model_6_chain_A_alt_A.pdb
17	1oca_model_7_chain_A_alt_A.pdb
18	1oca_model_8_chain_A_alt_A.pdb
19	1oca_model_9_chain_A_alt_A.pdb
