model_X	model_Y	core_percent	rmsd_non_core	rmsd_core	dis_score
0	1	0.927	3.724	0.879	0.977
0	2	0.932	3.966	0.913	1.009
0	3	0.929	4.006	0.84	0.939
0	4	0.925	4.118	0.899	1.008
0	5	0.923	3.967	0.913	1.022
0	6	0.923	3.976	0.871	0.979
0	7	0.919	3.994	0.912	1.028
0	8	0.904	3.921	0.891	1.027
0	9	0.93	4.195	0.826	0.926
0	10	0.922	3.968	0.856	0.965
0	11	0.93	3.5	0.837	0.925
0	12	0.934	4.014	0.831	0.922
0	13	0.93	3.955	0.857	0.954
0	14	0.915	3.921	0.877	0.996
0	15	0.921	4.001	0.849	0.96
0	16	0.926	4.006	0.903	1.008
0	17	0.931	4.234	0.875	0.976
0	18	0.929	4.005	0.849	0.948
0	19	0.939	4.05	0.891	0.977
1	2	0.93	4.109	0.893	0.994
1	3	0.944	4.242	0.889	0.97
1	4	0.935	4.459	0.858	0.955
1	5	0.908	3.766	0.912	1.039
1	6	0.934	4.234	0.872	0.968
1	7	0.923	4.07	0.935	1.047
1	8	0.928	4.156	0.921	1.027
1	9	0.921	3.96	0.937	1.05
1	10	0.947	3.735	0.889	0.959
1	11	0.938	3.951	0.898	0.984
1	12	0.931	4.144	0.833	0.931
1	13	0.933	4.273	0.95	1.051
1	14	0.932	3.662	0.91	1.0
1	15	0.937	4.254	0.873	0.965
1	16	0.942	4.027	0.883	0.964
1	17	0.93	4.017	0.939	1.04
1	18	0.921	4.165	0.845	0.958
1	19	0.928	4.123	0.992	1.099
2	3	0.942	3.927	0.832	0.91
2	4	0.936	4.154	0.81	0.899
2	5	0.927	3.686	0.875	0.972
2	6	0.919	4.036	0.935	1.053
2	7	0.93	4.077	0.963	1.065
2	8	0.923	4.02	0.958	1.07
2	9	0.929	3.776	0.898	0.994
2	10	0.931	3.762	0.884	0.977
2	11	0.956	4.012	0.831	0.891
2	12	0.938	3.942	0.879	0.965
2	13	0.923	3.961	0.951	1.061
2	14	0.931	3.776	0.968	1.063
2	15	0.929	4.027	0.9	1.001
2	16	0.927	3.789	0.906	1.006
2	17	0.919	4.04	0.917	1.034
2	18	0.927	3.636	0.85	0.945
2	19	0.927	3.853	0.985	1.088
3	4	0.948	3.776	0.792	0.859
3	5	0.938	3.673	0.85	0.931
3	6	0.935	3.779	0.904	0.992
3	7	0.934	3.653	0.905	0.992
3	8	0.938	3.675	0.914	0.996
3	9	0.941	3.707	0.893	0.971
3	10	0.934	3.992	0.882	0.974
3	11	0.949	4.238	0.84	0.912
3	12	0.944	3.897	0.85	0.926
3	13	0.93	3.785	0.877	0.972
3	14	0.945	4.038	0.853	0.929
3	15	0.945	3.768	0.816	0.888
3	16	0.95	3.754	0.851	0.917
3	17	0.929	3.615	0.892	0.985
3	18	0.943	3.733	0.851	0.926
3	19	0.941	3.806	0.923	1.003
4	5	0.939	3.909	0.828	0.91
4	6	0.914	3.738	0.916	1.034
4	7	0.93	3.828	0.927	1.024
4	8	0.934	3.655	0.91	0.997
4	9	0.933	3.838	0.861	0.952
4	10	0.922	3.958	0.889	0.999
4	11	0.939	4.155	0.845	0.931
4	12	0.936	4.069	0.866	0.956
4	13	0.924	3.978	0.914	1.022
4	14	0.936	4.019	0.885	0.975
4	15	0.93	3.929	0.852	0.948
4	16	0.929	3.756	0.883	0.979
4	17	0.939	3.693	0.904	0.985
4	18	0.928	4.024	0.886	0.988
4	19	0.929	3.852	0.926	1.025
5	6	0.916	3.816	0.931	1.048
5	7	0.915	3.617	0.979	1.094
5	8	0.938	3.772	0.835	0.917
5	9	0.939	3.671	0.822	0.901
5	10	0.914	3.763	0.912	1.03
5	11	0.924	3.942	0.887	0.993
5	12	0.927	3.638	0.873	0.969
5	13	0.919	3.91	0.934	1.049
5	14	0.919	3.858	0.927	1.04
5	15	0.927	3.89	0.891	0.992
5	16	0.924	3.696	0.91	1.012
5	17	0.904	3.524	0.969	1.097
5	18	0.921	3.803	0.908	1.017
5	19	0.938	3.775	0.916	1.0
6	7	0.927	3.816	0.924	1.025
6	8	0.913	3.861	0.936	1.059
6	9	0.921	3.767	0.941	1.05
6	10	0.927	3.998	0.91	1.014
6	11	0.918	4.239	0.947	1.071
6	12	0.93	4.131	0.925	1.027
6	13	0.946	3.751	0.893	0.965
6	14	0.939	4.062	0.874	0.96
6	15	0.927	4.108	0.89	0.995
6	16	0.936	3.646	0.88	0.964
6	17	0.921	3.753	0.972	1.081
6	18	0.912	3.842	0.906	1.029
6	19	0.938	3.985	1.001	1.091
7	8	0.932	3.906	0.944	1.04
7	9	0.927	3.735	0.936	1.035
7	10	0.923	3.883	0.907	1.014
7	11	0.92	4.32	0.931	1.053
7	12	0.915	4.056	0.943	1.067
7	13	0.922	3.717	0.951	1.058
7	14	0.93	3.992	0.93	1.03
7	15	0.938	3.798	0.847	0.93
7	16	0.947	3.359	0.919	0.984
7	17	0.926	3.62	0.96	1.059
7	18	0.91	3.769	0.933	1.058
7	19	0.93	3.643	0.939	1.032
8	9	0.934	3.742	0.888	0.976
8	10	0.926	3.797	0.984	1.087
8	11	0.925	4.16	0.95	1.061
8	12	0.925	3.95	0.854	0.958
8	13	0.919	3.869	0.919	1.032
8	14	0.923	3.919	0.942	1.051
8	15	0.935	3.705	0.905	0.992
8	16	0.93	3.681	0.949	1.043
8	17	0.925	3.798	0.98	1.085
8	18	0.926	3.845	0.944	1.047
8	19	0.94	3.836	0.952	1.035
9	10	0.937	3.902	0.861	0.947
9	11	0.927	4.166	0.885	0.991
9	12	0.938	3.561	0.855	0.934
9	13	0.925	3.728	0.943	1.045
9	14	0.926	4.072	0.911	1.018
9	15	0.943	3.766	0.871	0.947
9	16	0.927	3.528	0.924	1.019
9	17	0.94	3.6	0.872	0.949
9	18	0.924	3.687	0.879	0.98
9	19	0.934	3.698	0.878	0.965
10	11	0.923	4.094	0.906	1.018
10	12	0.926	3.998	0.872	0.976
10	13	0.94	4.231	0.946	1.035
10	14	0.935	3.664	0.921	1.007
10	15	0.93	4.048	0.835	0.933
10	16	0.936	3.531	0.92	1.003
10	17	0.936	4.148	0.846	0.937
10	18	0.921	3.835	0.859	0.967
10	19	0.929	3.762	0.953	1.051
11	12	0.931	3.86	0.847	0.94
11	13	0.927	4.178	0.941	1.049
11	14	0.925	4.039	0.916	1.024
11	15	0.932	4.278	0.855	0.954
11	16	0.92	4.0	0.903	1.017
11	17	0.93	4.351	0.893	0.998
11	18	0.928	4.208	0.79	0.891
11	19	0.923	4.012	0.971	1.083
12	13	0.938	4.251	0.88	0.97
12	14	0.919	4.023	0.908	1.024
12	15	0.931	3.861	0.817	0.909
12	16	0.931	3.896	0.854	0.948
12	17	0.934	3.848	0.867	0.957
12	18	0.93	3.723	0.865	0.958
12	19	0.934	4.062	0.93	1.025
13	14	0.939	3.868	0.856	0.938
13	15	0.942	3.728	0.887	0.964
13	16	0.935	3.783	0.934	1.023
13	17	0.919	3.991	0.975	1.093
13	18	0.928	3.795	0.91	1.009
13	19	0.952	3.851	0.923	0.989
14	15	0.938	3.943	0.91	0.997
14	16	0.937	3.593	0.914	0.996
14	17	0.916	3.915	1.001	1.123
14	18	0.924	3.817	0.886	0.99
14	19	0.939	3.76	0.862	0.943
15	16	0.943	3.601	0.874	0.947
15	17	0.947	3.906	0.852	0.924
15	18	0.931	4.062	0.868	0.966
15	19	0.935	3.89	0.905	0.995
16	17	0.93	3.698	0.843	0.935
16	18	0.934	3.736	0.867	0.955
16	19	0.932	3.716	0.898	0.989
17	18	0.927	4.067	0.878	0.982
17	19	0.922	3.901	0.923	1.033
18	19	0.924	3.671	0.935	1.037
0	0	0	0	0	0
1	1	0	0	0	0
2	2	0	0	0	0
3	3	0	0	0	0
4	4	0	0	0	0
5	5	0	0	0	0
6	6	0	0	0	0
7	7	0	0	0	0
8	8	0	0	0	0
9	9	0	0	0	0
10	10	0	0	0	0
11	11	0	0	0	0
12	12	0	0	0	0
13	13	0	0	0	0
14	14	0	0	0	0
15	15	0	0	0	0
16	16	0	0	0	0
17	17	0	0	0	0
18	18	0	0	0	0
19	19	0	0	0	0
